"","id","league","max_value_age","start_age","end_age","prime_duration","threshold_value","threshold_pct","skip_before_used","skip_after_used"
"1","CHESS-abdimalik-abdisalimov-00","CHESS_M",18,18,18,1,2938.3,70,FALSE,TRUE
"2","CHESS-abdulla-gadimbayli-00","CHESS_M",18,18,21,4,2911.5,70,FALSE,TRUE
"3","CHESS-adhiban-baskaran-00","CHESS_M",32,25,32,8,2594.7,70,TRUE,FALSE
"4","CHESS-adrien-demuth-00","CHESS_M",19,19,20,2,2857.6,70,FALSE,TRUE
"5","CHESS-agnieszka-dmochowska-00","CHESS_F",20,20,21,2,2201.9,70,TRUE,TRUE
"6","CHESS-alberto-barp-00","CHESS_M",23,22,25,4,2715.8,70,TRUE,TRUE
"7","CHESS-aleksandr-lenderman-00","CHESS_M",33,28,35,8,2668.5,70,TRUE,FALSE
"8","CHESS-aleksandra-goryachkina-00","CHESS_F",26,26,26,1,2807.8,70,TRUE,FALSE
"9","CHESS-aleksandra-lach-00","CHESS_F",30,24,30,7,2338.9,70,TRUE,FALSE
"10","CHESS-aleksandra-tarnowska-00","CHESS_F",27,25,29,5,2282.4,70,TRUE,FALSE
"11","CHESS-alexandra-botez-00","CHESS_F",28,25,29,5,2439.8,70,TRUE,FALSE
"12","CHESS-alina-bivol-00","CHESS_F",25,24,27,4,2506.3,70,TRUE,TRUE
"13","CHESS-alon-mindlin-00","CHESS_M",27,27,28,2,2905,70,TRUE,FALSE
"14","CHESS-alvar-alonso-rosell-00","CHESS_M",28,25,32,8,2627.2,70,TRUE,FALSE
"15","CHESS-amin-tabatabaei-00","CHESS_M",19,19,20,2,3133.9,70,TRUE,TRUE
"16","CHESS-amir-zaibi-00","CHESS_M",35,31,36,6,2341.7,70,TRUE,FALSE
"17","CHESS-amirreza-pourramezanali-00","CHESS_M",25,25,32,8,2621.4,70,TRUE,FALSE
"18","CHESS-anastasia-avramidou-00","CHESS_F",24,21,25,5,2670.2,70,TRUE,FALSE
"19","CHESS-anastasiya-rakhmangulova-00","CHESS_F",24,24,25,2,2621.4,70,TRUE,TRUE
"20","CHESS-andreea-navrotescu-00","CHESS_F",27,25,27,3,2434.3,70,TRUE,FALSE
"21","CHESS-andrei-matsenko-00","CHESS_M",25,23,28,6,2622.1,70,TRUE,FALSE
"22","CHESS-andrey-esipenko-00","CHESS_M",22,22,22,1,3112.9,70,TRUE,FALSE
"23","CHESS-ankit-rajpara-00","CHESS_M",26,25,30,6,2663.2,70,TRUE,FALSE
"24","CHESS-anna-kantane-00","CHESS_F",27,27,29,3,2380.9,70,TRUE,TRUE
"25","CHESS-anna-kubicka-00","CHESS_F",20,20,21,2,2601.8,70,TRUE,TRUE
"26","CHESS-anna-maja-kazarian-00","CHESS_F",25,20,25,6,2422.7,70,TRUE,FALSE
"27","CHESS-anna-warakomska-00","CHESS_F",29,26,29,4,2267.9,70,TRUE,TRUE
"28","CHESS-anton-smirnov-00","CHESS_M",23,23,23,1,3087.4,70,TRUE,FALSE
"29","CHESS-antonios-pavlidis-00","CHESS_M",27,27,28,2,2727.2,70,TRUE,TRUE
